ticker,score,zona,precio,ratio,precio_ars,rsi,estructura
AAPL,4,Discount,252.62,20.0,18341.0,42.6,Alcista Debil
META,3,Discount,594.89,24.0,35993.0,35.7,Alcista Debil
PLTR,3,Discount,154.96,3.0,75006.0,54.0,Alcista Debil
TSLA,3,Near Discount,385.95,15.0,37363.0,43.3,Alcista Debil
BITF,3,Near Discount,2.21,0.2,16046.0,48.4,Alcista Debil
ANF,3,Near Discount,88.55,1.0,128583.0,45.7,Alcista Debil
AMZN,3,Discount,211.71,144.0,2135.0,49.4,Alcista Debil
NVDA,3,Near Discount,178.68,24.0,10811.0,46.4,Alcista Debil
LOMA,3,Near Discount,10.83,5.0,3145.0,54.1,Alcista Debil
SUPV,3,Near Discount,9.06,5.0,2631.0,48.7,Alcista Debil
ALUA.BA,4,Discount,787.5,1.0,787.5,39.8,Alcista Debil
CVH.BA,3,Discount,6970.0,1.0,6970.0,45.7,Alcista Debil
COME.BA,3,Near Discount,46.21,1.0,46.21,53.1,Alcista Debil
